annee_numero_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2
2011018;20110506;20110706;28;16;20;22;11;4;9
2011017;20110429;20110629;38;40;25;15;41;1;2
2011016;20110422;20110622;22;45;48;11;36;1;4
2011015;20110415;20110615;4;41;6;21;39;2;6
2011014;20110408;20110608;21;47;23;38;50;6;2
2011013;20110401;20110601;17;33;22;21;4;4;8
2011012;20110325;20110525;12;21;6;33;27;7;3
2011011;20110318;20110518;50;13;26;1;20;7;6
2011010;20110311;20110511;17;24;37;19;46;2;7
2011009;20110304;20110504;28;41;25;11;27;8;5
2011008;20110225;20110427;42;45;13;48;12;3;9
2011007;20110218;20110420;45;3;49;15;2;9;5
2011006;20110211;20110413;15;14;12;19;23;7;8
2011005;20110204;20110406;47;35;11;2;24;5;9
2011004;20110128;20110330;41;24;23;42;13;5;1
2011003;20110121;20110323;21;11;13;3;18;5;4
2011002;20110114;20110316;44;2;24;14;39;7;6
2011001;20110107;20110309;32;22;1;48;50;7;6
2010053;20101231;20110302;2;24;43;38;34;1;7
2010052;20101224;20110223;46;19;42;36;38;8;2
2010051;20101217;20110216;3;35;29;42;20;3;8
2010050;20101210;20110209;46;2;10;3;33;8;7
2010049;20101203;20110202;28;32;46;8;19;4;7
2010048;20101126;20110126;9;41;36;49;28;7;5
2010047;20101119;20110119;36;12;15;45;32;9;7
2010046;20101112;20110112;23;47;7;19;29;6;1
2010045;20101105;20110105;21;23;33;50;40;5;4
2010044;20101029;20101229;32;22;16;42;20;8;9
2010043;20101022;20101222;39;5;11;9;4;3;5
2010042;20101015;20101215;38;31;2;36;43;7;3
2010041;20101008;20101208;46;35;39;30;9;6;8
2010040;20101001;20101201;4;27;6;48;1;1;6
2010039;20100924;20101124;1;16;48;4;40;1;9
2010038;20100917;20101117;50;27;38;17;29;3;1
2010037;20100910;20101110;35;41;21;45;17;5;1
2010036;20100903;20101103;24;49;47;26;13;4;8
2010035;20100827;20101027;13;6;30;1;49;1;9
2010034;20100820;20101020;27;31;5;42;40;6;1
2010033;20100813;20101013;15;9;47;21;4;7;2
2010032;20100806;20101006;42;28;13;29;25;4;5
2010031;20100730;20100929;39;11;3;4;28;8;2
2010030;20100723;20100922;4;13;37;35;46;9;3
2010029;20100716;20100915;49;46;45;39;38;7;8
2010028;20100709;20100908;37;9;49;24;39;3;9
2010027;20100702;20100901;46;41;36;13;12;8;1
2010026;20100625;20100825;18;1;8;28;31;9;8
2010025;20100618;20100818;2;29;31;38;32;4;1
2010024;20100611;20100811;44;2;36;22;24;2;1
2010023;20100604;20100804;34;42;17;40;4;9;4
2010022;20100528;20100728;9;31;32;33;4;3;7
2010021;20100521;20100721;38;19;50;7;30;4;7
2010020;20100514;20100714;17;31;43;47;1;3;2
2010019;20100507;20100707;15;21;6;3;32;7;9
2010018;20100430;20100630;6;36;22;25;24;3;8
2010017;20100423;20100623;46;3;7;8;43;6;8
2010016;20100416;20100616;17;11;26;40;9;9;3
2010015;20100409;20100609;44;23;24;21;7;3;4
2010014;20100402;20100602;26;18;12;24;45;5;4
2010013;20100326;20100526;18;37;8;16;43;2;6
2010012;20100319;20100519;38;28;30;39;10;7;2
2010011;20100312;20100512;46;1;26;36;33;7;6
2010010;20100305;20100505;19;18;49;12;43;9;3
2010009;20100226;20100428;42;11;29;7;18;7;6
2010008;20100219;20100421;37;12;38;31;43;3;2
2010007;20100212;20100414;5;45;1;38;18;6;4
2010006;20100205;20100407;46;38;34;35;39;3;4
2010005;20100129;20100331;39;43;30;17;9;7;5
2010004;20100122;20100324;4;44;27;22;36;9;7
2010003;20100115;20100317;49;50;26;29;11;4;7
2010002;20100108;20100310;44;5;14;4;46;9;8
2010001;20100101;20100303;22;24;27;36;9;7;5
2009052;20091225;20100224;4;17;5;34;14;5;3
2009051;20091218;20100217;49;30;35;32;14;8;3
2009050;20091211;20100210;41;43;44;46;20;2;9
2009049;20091204;20100203;25;30;19;18;44;3;1
2009048;20091127;20100127;33;15;13;5;8;8;9
2009047;20091120;20100120;47;9;28;5;43;2;9
2009046;20091113;20100113;15;25;32;26;13;4;3
2009045;20091106;20100106;19;43;45;34;11;5;9
2009044;20091030;20091230;35;9;33;38;40;6;2
2009043;20091023;20091223;20;6;18;29;31;8;2
2009042;20091016;20091216;23;30;31;47;12;3;4
2009041;20091009;20091209;29;11;46;7;50;4;7
2009040;20091002;20091202;44;29;24;23;22;5;1
2009039;20090925;20091125;6;21;18;17;34;9;3
2009038;20090918;20091118;30;16;41;38;6;2;4
2009037;20090911;20091111;42;15;12;35;43;6;4
2009036;20090904;20091104;20;39;6;9;38;9;3
2009035;20090828;20091028;37;41;49;36;8;7;5
2009034;20090821;20091021;16;42;31;7;4;5;3
2009033;20090814;20091014;30;5;8;49;24;9;3
2009032;20090807;20091007;22;10;31;24;20;7;2
2009031;20090731;20090930;26;9;20;21;5;6;3
2009030;20090724;20090923;15;47;35;25;14;9;5
2009029;20090717;20090916;17;50;8;2;32;3;7
2009028;20090710;20090909;42;20;6;16;46;1;6
2009027;20090703;20090902;29;47;46;34;21;6;8
2009026;20090626;20090826;21;6;11;39;30;8;2
2009025;20090619;20090819;20;17;16;4;29;7;5
2009024;20090612;20090812;50;14;6;16;34;6;4
2009023;20090605;20090805;35;19;40;26;11;2;5
2009022;20090529;20090729;30;47;2;37;5;6;3
2009021;20090522;20090722;43;4;14;33;13;6;1
2009020;20090515;20090715;19;8;42;18;20;5;9
2009019;20090508;20090708;4;29;23;31;24;9;8
2009018;20090501;20090701;38;47;31;19;5;3;5
2009017;20090424;20090624;21;4;24;14;41;5;8
2009016;20090417;20090617;7;4;21;44;47;1;5
2009015;20090410;20090610;37;14;9;46;16;2;4
2009014;20090403;20090603;46;24;32;20;2;1;9
2009013;20090327;20090527;25;42;36;33;38;6;7
2009012;20090320;20090520;31;12;35;23;16;4;6
2009011;20090313;20090513;36;42;26;12;24;1;4
2009010;20090306;20090506;13;35;25;17;19;5;6
2009009;20090227;20090429;9;44;5;37;45;9;6
2009008;20090220;20090422;13;48;9;12;14;1;2
2009007;20090213;20090415;33;36;40;22;42;1;2
2009006;20090206;20090408;36;30;20;40;10;3;5
2009005;20090130;20090401;4;34;35;46;29;5;8
2009004;20090123;20090325;36;49;33;40;32;2;8
2009003;20090116;20090318;50;22;17;3;49;3;6
2009002;20090109;20090311;22;7;15;28;48;4;1
